dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
Coffee,1.0,0.964,0.821,0.25,0.464,0.25,0.250,0.536,0.536,0.429,0.9642857142857144,0.8571428571428571,0.4642857142857143,0.4642857142857143,0.25,0.25,0.25,0.4642857142857143,0.4642857142857143,0.0357142857142857,1.0,1.0,0.9285714285714286,0.3571428571428571,0.5357142857142857,0.2142857142857142,0.2142857142857142,0.75,0.5357142857142857,0.5
Computers,0.684,0.576,0.616,0.596,0.492,0.516,0.684,0.592,0.62,0.644,0.648,0.624,0.664,0.568,0.484,0.492,0.648,0.56,0.62,0.572,0.652,0.656,0.676,0.668,0.632,0.632,0.652,0.644,0.648,0.608
CricketX,0.679,0.662,0.464,0.484,0.218,0.213,0.679,0.4,0.403,0.203,0.6358974358974359,0.5846153846153846,0.4589743589743589,0.5282051282051282,0.2358974358974359,0.2358974358974359,0.2358974358974359,0.3128205128205128,0.2692307692307692,0.1846153846153846,0.6410256410256411,0.6025641025641025,0.3871794871794872,0.4743589743589743,0.2153846153846154,0.2076923076923077,0.2076923076923077,0.3615384615384615,0.3153846153846154,0.1692307692307692
CricketY,0.646,0.579,0.541,0.562,0.21,0.195,0.646,0.426,0.385,0.313,0.6,0.5820512820512821,0.4743589743589743,0.482051282051282,0.1743589743589743,0.1435897435897435,0.6,0.4564102564102564,0.4538461538461538,0.1589743589743589,0.6025641025641025,0.5512820512820513,0.4384615384615384,0.4871794871794871,0.2205128205128205,0.1846153846153846,0.6025641025641025,0.4051282051282051,0.3794871794871794,0.1333333333333333
CricketZ,0.703,0.636,0.51,0.59,0.287,0.279,0.279,0.477,0.469,0.292,0.6538461538461539,0.6230769230769231,0.4717948717948718,0.5461538461538461,0.2435897435897435,0.2717948717948718,0.2717948717948718,0.441025641025641,0.3692307692307692,0.241025641025641,0.6615384615384615,0.617948717948718,0.4102564102564102,0.4871794871794871,0.1743589743589743,0.1487179487179487,0.1487179487179487,0.4205128205128205,0.3923076923076923,0.1435897435897435
Crop,0.709,0.488,0.48,0.448,0.369,0.364,0.364,0.472,0.414,0.324,0.6601190476190476,0.4351785714285714,0.4547619047619047,0.4261309523809524,0.3450595238095238,0.315,0.315,0.4278571428571429,0.3673214285714286,0.3198809523809524,0.6688690476190476,0.4160119047619047,0.415,0.3761904761904762,0.3223809523809524,0.2900595238095238,0.2900595238095238,0.3716071428571428,0.332797619047619,0.2034523809523809
DiatomSizeReduction,0.967,0.888,0.327,0.533,0.219,0.092,0.092,0.65,0.036,0.31,0.931372549019608,0.9117647058823528,0.5032679738562091,0.8627450980392157,0.4019607843137255,0.261437908496732,0.261437908496732,0.2810457516339869,0.3071895424836601,0.3039215686274509,0.9215686274509804,0.8366013071895425,0.2875816993464052,0.5326797385620915,0.3594771241830065,0.4705882352941176,0.4705882352941176,0.6013071895424836,0.545751633986928,0.238562091503268
DistalPhalanxOutlineAgeGroup,0.777,0.669,0.453,0.734,0.281,0.281,0.281,0.655,0.669,0.266,0.7338129496402878,0.6906474820143885,0.4244604316546763,0.762589928057554,0.3884892086330935,0.3884892086330935,0.3884892086330935,0.7338129496402878,0.7338129496402878,0.3741007194244604,0.7338129496402878,0.7266187050359713,0.4244604316546763,0.762589928057554,0.3884892086330935,0.3884892086330935,0.3884892086330935,0.7194244604316546,0.7194244604316546,0.3741007194244604
DistalPhalanxOutlineCorrect,0.786,0.764,0.692,0.837,0.351,0.344,0.344,0.754,0.609,0.699,0.7536231884057971,0.7536231884057971,0.4963768115942029,0.8768115942028986,0.1268115942028985,0.1123188405797101,0.1123188405797101,0.6847826086956522,0.4311594202898551,0.0978260869565217,0.7572463768115942,0.7246376811594203,0.4384057971014493,0.8297101449275363,0.1992753623188405,0.1920289855072463,0.1920289855072463,0.4746376811594203,0.4166666666666667,0.1050724637681159
DistalPhalanxTW,0.734,0.669,0.324,0.837,0.475,0.525,0.525,0.345,0.609,0.266,0.6906474820143885,0.6187050359712231,0.2805755395683453,0.7122302158273381,0.2589928057553957,0.1942446043165467,0.1942446043165467,0.6690647482014388,0.6258992805755396,0.2877697841726618,0.7050359712230215,0.6258992805755396,0.316546762589928,0.4532374100719424,0.2949640287769784,0.1223021582733813,0.1223021582733813,0.6187050359712231,0.5899280575539568,0.2158273381294964
