dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
InsectWingbeatSound,0.5974747474747475,0.5116161616161616,0.348989898989899,0.4974747474747474,0.1752525252525252,0.1267676767676767,,0.2606060606060606,0.1176767676767676,0.0904040404040404
ItalyPowerDemand,0.9222546161321672,0.7978620019436345,0.5014577259475219,0.4936831875607386,0.2915451895043732,0.26044703595724,,0.6763848396501457,0.706511175898931,0.2293488824101069
LargeKitchenAppliances,0.648,0.5733333333333334,0.488,0.3973333333333333,0.272,0.232,0.232,0.336,0.3333333333333333,0.3066666666666666
Lightning2,0.7868852459016393,0.639344262295082,0.5409836065573771,0.7049180327868853,0.4262295081967213,0.4098360655737705,0.4098360655737705,0.5081967213114754,0.6065573770491803,0.4262295081967213
Lightning7,0.6986301369863014,0.5068493150684932,0.3561643835616438,0.3698630136986301,0.1917808219178082,0.0958904109589041,,0.3835616438356164,0.1506849315068493,0.0547945205479452
MedicalImages,0.7078947368421052,0.5947368421052631,0.5526315789473685,0.6263157894736842,0.3907894736842105,0.3815789473684211,0.3815789473684211,0.5157894736842106,0.5144736842105263,0.4276315789473684
MelbournePedestrian,0.8872488724887249,0.5207052070520706,0.4678146781467814,0.4911849118491185,0.3944239442394424,0.2398523985239852,0.2398523985239852,0.3817138171381714,0.3456334563345633,0.1443214432144321
MiddlePhalanxOutlineAgeGroup,0.6168831168831169,0.6298701298701299,0.5714285714285714,0.6233766233766234,0.3896103896103896,0.3636363636363636,0.3636363636363636,0.435064935064935,0.5,0.3701298701298701
MiddlePhalanxOutlineCorrect,0.7972508591065293,0.697594501718213,0.570446735395189,0.7663230240549829,0.2268041237113402,0.2268041237113402,0.2268041237113402,0.6185567010309279,0.6701030927835051,0.2371134020618556
MiddlePhalanxTW,0.5714285714285714,0.4155844155844156,0.1493506493506493,0.3246753246753247,0.2987012987012987,0.0064935064935064,0.0064935064935064,0.2727272727272727,0.2727272727272727,0.0064935064935064
MoteStrain,0.8282747603833865,0.8099041533546326,0.6757188498402555,0.8522364217252396,0.4864217252396166,0.4361022364217252,0.4361022364217252,0.5151757188498403,0.5942492012779552,0.1022364217252396
OSULeaf,0.5495867768595041,0.396694214876033,0.1694214876033057,0.2066115702479339,0.0785123966942148,0.0537190082644628,0.0537190082644628,0.2314049586776859,0.1735537190082644,0.0495867768595041
PhalangesOutlinesCorrect,0.782051282051282,0.5303030303030303,0.4685314685314685,0.4498834498834498,0.2517482517482518,0.2424242424242424,0.2424242424242424,0.4358974358974359,0.4219114219114219,0.3566433566433566
Plane,0.9523809523809524,0.7142857142857143,0.1619047619047619,0.3238095238095238,0.1904761904761904,0.1142857142857142,,0.1619047619047619,0.1619047619047619,0.019047619047619
PowerCons,0.95,0.9444444444444444,0.8888888888888888,0.9055555555555556,0.4444444444444444,0.4166666666666667,0.4166666666666667,0.7166666666666667,0.7888888888888889,0.3722222222222222
ProximalPhalanxOutlineAgeGroup,0.8439024390243902,0.7268292682926829,0.4292682926829268,0.8682926829268293,0.0926829268292682,0.1512195121951219,0.1512195121951219,0.2975609756097561,0.4048780487804878,0.0195121951219512
ProximalPhalanxOutlineCorrect,0.845360824742268,0.7491408934707904,0.6872852233676976,0.5189003436426117,0.6391752577319587,0.6082474226804123,0.6082474226804123,0.6151202749140894,0.5670103092783505,0.9415807560137456
ProximalPhalanxTW,0.7853658536585366,0.5951219512195122,0.2,0.424390243902439,0.473170731707317,0.1170731707317073,0.1170731707317073,0.751219512195122,0.751219512195122,0.0878048780487804
RefrigerationDevices,0.5306666666666666,0.4906666666666666,0.4986666666666666,0.584,0.2106666666666666,0.1733333333333333,0.1733333333333333,0.4373333333333333,0.4693333333333333,0.3493333333333333
ShapeletSim,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
ShapesAll,0.7033333333333334,0.42,0.17,0.335,0.1733333333333333,0.1716666666666666,,0.3583333333333333,0.165,0.0616666666666666
SmallKitchenAppliances,0.6933333333333334,0.64,0.5413333333333333,0.4853333333333333,0.3626666666666667,0.3173333333333333,0.3173333333333333,0.336,0.3333333333333333,0.2613333333333333
SmoothSubspace,0.9466666666666668,0.7133333333333334,0.48,0.5866666666666667,0.36,0.3133333333333333,0.3133333333333333,0.5333333333333333,0.5866666666666667,0.3333333333333333
SonyAIBORobotSurface1,0.7870216306156406,0.7753743760399334,0.5590682196339434,0.610648918469218,0.1830282861896838,0.1314475873544093,,0.5241264559068219,0.5507487520798668,0.0
SonyAIBORobotSurface2,0.7943336831059811,0.7387198321091291,0.4868835257082896,0.4239244491080797,0.5110178384050367,0.2675760755508919,0.2675760755508919,0.7229800629590766,0.7313746065057712,0.2518363064008394
