dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT,origin_1,Random_1,Saliency_1,GuidedBackprop_1,GI_1,DeepLift_1,DeepLiftShap_1,attn_1,rollout_1,EXITT_1,origin_2,Random_2,Saliency_2,GuidedBackprop_2,GI_2,DeepLift_2,DeepLiftShap_2,attn_2,rollout_2,EXITT_2
LSST,0.644,0.376,0.294,0.357,0.197,0.168,0.168,0.2412,0.2116,0.122,0.5952960259529603,0.5113544201135442,0.4047039740470397,0.4752635847526358,0.2035685320356853,0.0867802108678021,0.0867802108678021,0.3491484184914842,0.3110300081103,0.1832927818329278,0.6021897810218978,0.4809407948094079,0.3037307380373074,0.389294403892944,0.2141119221411192,0.0835360908353609,0.0835360908353609,0.291970802919708,0.2546634225466342,0.2246553122465531
Libras,0.878,0.422,0.333,0.4,0.183,0.167,0.167,0.4833,0.35,0.1,0.8333333333333334,0.55,0.3277777777777778,0.4888888888888889,0.2388888888888889,0.2,0.2,0.3611111111111111,0.3555555555555555,0.1333333333333333,0.8333333333333334,0.5833333333333334,0.4,0.5722222222222222,0.2388888888888889,0.2222222222222222,0.2222222222222222,0.5722222222222222,0.4888888888888889,0.1333333333333333
MotorImagery,0.63,0.55,0.54,0.44,0.0,0.63,0.63,0.61,0.61,0.0,0.58,0.51,0.55,0.36,0.0,0.58,0.58,0.5,0.5,0.01,0.61,0.58,0.5,0.43,0.01,0.61,0.61,0.51,0.51,0.02
NATOPS,0.939,0.733,0.367,0.439,0.006,0.022,0.022,0.2555,0.2722,0.0,0.9055555555555556,0.8277777777777777,0.7944444444444444,0.5611111111111111,0.0944444444444444,0.0944444444444444,0.0944444444444444,0.3111111111111111,0.2777777777777778,0.0277777777777777,0.9166666666666666,0.8722222222222222,0.7777777777777778,0.5444444444444444,0.05,0.0611111111111111,0.0611111111111111,0.5222222222222223,0.5055555555555555,0.0111111111111111
PEMS-SF,0.884,0.803,0.682,0.168,0.0,0.0,0.0,0.4797,0.445,0.0,0.838150289017341,0.7861271676300579,0.6647398843930635,0.3121387283236994,0.0693641618497109,0.0924855491329479,0.0924855491329479,0.2601156069364161,0.2543352601156069,0.0,0.838150289017341,0.8092485549132948,0.6705202312138728,0.2774566473988439,0.0404624277456647,0.0115606936416184,0.0115606936416184,0.5722543352601156,0.5028901734104047,0.0
PenDigits,0.973,0.281,0.278,0.302,0.145,0.149,0.149,0.3839,0.2484,0.058,0.9711263579188107,0.6143510577472842,0.6360777587192682,0.5860491709548313,0.2570040022870211,0.2695826186392224,0.2695826186392224,0.5383076043453402,0.4882790165809034,0.1240708976558033,0.940251572327044,0.532590051457976,0.5748999428244711,0.5,0.2409948542024013,0.2449971412235563,0.2449971412235563,0.4948542024013722,0.4256718124642653,0.0794739851343624
RacketSports,0.855,0.651,0.382,0.605,0.178,0.171,0.171,0.6184,0.6184,0.026,0.8421052631578947,0.756578947368421,0.6973684210526315,0.5789473684210527,0.25,0.2236842105263158,0.2236842105263158,0.5921052631578947,0.5921052631578947,0.1184210526315789,0.8092105263157895,0.6578947368421053,0.5855263157894737,0.5986842105263158,0.131578947368421,0.1381578947368421,0.1381578947368421,0.5921052631578947,0.5921052631578947,0.0460526315789473
SelfRegulationSCP1,0.843,0.594,0.737,0.908,0.109,0.113,0.113,0.7474,0.6996,0.048,0.7952218430034129,0.8122866894197952,0.6348122866894198,0.9180887372013652,0.1092150170648464,0.0716723549488054,0.0716723549488054,0.6177474402730375,0.6928327645051194,0.0955631399317406,0.7986348122866894,0.7679180887372014,0.78839590443686,0.9658703071672357,0.0648464163822525,0.0750853242320819,0.0750853242320819,0.7679180887372014,0.7849829351535836,0.0716723549488054
SelfRegulationSCP2,0.583,0.539,0.567,0.561,0.2,0.106,0.106,0.5666,0.5555,0.183,0.5444444444444444,0.4944444444444444,0.5055555555555555,0.3777777777777777,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.4722222222222222,0.4722222222222222,0.0444444444444444,0.5388888888888889,0.5111111111111111,0.5166666666666667,0.4666666666666667,0.1833333333333333,0.1222222222222222,0.1222222222222222,0.4888888888888889,0.5,0.1944444444444444
UWaveGestureLibrary,0.863,0.725,0.525,0.662,0.094,0.062,0.062,0.5656,0.55,0.013,0.8125,0.73125,0.66875,0.628125,0.065625,0.0875,0.0875,0.353125,0.459375,0.015625,0.81875,0.75625,0.496875,0.684375,0.0875,0.059375,0.059375,0.51875,0.459375,0.059375
HandMovementDirection,0.514,0.3513,0.2297,0.1891,0.0,0.0,0.0,0.3513,0.3783,0.0,0.4729729729729729,0.2567567567567567,0.2027027027027027,0.1891891891891892,0.027027027027027,0.0,0.0,0.4189189189189189,0.4189189189189189,0.0,0.4729729729729729,0.2837837837837837,0.2027027027027027,0.2162162162162162,0.0,0.0135135135135135,0.0135135135135135,0.3108108108108108,0.3243243243243243,0.0
