dataset,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
FiftyWords,0.6835164835164835,0.6043956043956044,0.4021978021978022,0.5274725274725275,0.2527472527472527,0.2505494505494505,0.2505494505494505,0.5252747252747253,0.3824175824175824,0.1824175824175824
Fish,0.7714285714285715,0.72,0.2685714285714285,0.4742857142857143,0.2628571428571428,0.1714285714285714,0.1714285714285714,0.2685714285714285,0.3028571428571429,0.2228571428571428
FreezerRegularTrain,0.9470175438596492,0.9010526315789472,0.887719298245614,0.6940350877192982,0.147719298245614,0.1245614035087719,0.1245614035087719,0.5775438596491228,0.5866666666666667,0.1042105263157894
Fungi,0.8709677419354839,0.8279569892473119,0.5860215053763441,0.6290322580645161,0.3978494623655914,0.3548387096774194,0.3548387096774194,0.2311827956989247,0.1505376344086021,0.3387096774193548
GunPoint,0.9133333333333332,0.7666666666666667,0.4933333333333333,0.8,0.4333333333333333,0.2866666666666667,0.2866666666666667,0.4933333333333333,0.4933333333333333,0.4533333333333333
GunPointAgeSpan,0.9588607594936708,0.5759493670886076,0.3639240506329114,0.5126582278481012,0.4936708860759494,0.490506329113924,0.490506329113924,0.6044303797468354,0.5632911392405063,0.4841772151898734
GunPointMaleVersusFemale,0.971518987341772,0.879746835443038,0.7088607594936709,1.0,0.4683544303797468,0.4240506329113924,0.4240506329113924,0.7246835443037974,0.7373417721518988,0.4715189873417721
GunPointOldVersusYoung,0.9873015873015872,0.6317460317460317,0.5238095238095238,0.8095238095238095,0.5238095238095238,0.5238095238095238,0.5238095238095238,0.7206349206349206,0.6984126984126984,0.5238095238095238
Ham,0.8,0.8,0.6285714285714286,0.7047619047619048,0.2476190476190476,0.1904761904761904,,0.5619047619047619,0.5904761904761905,0.3333333333333333
Herring,0.6875,0.640625,0.59375,0.578125,0.203125,0.203125,0.203125,0.609375,0.59375,0.5625
InsectEPGRegularTrain,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,0.8313253012048193,,0.8313253012048193,0.8313253012048193,0.8313253012048193
InsectEPGSmallTrain,1.0,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,0.5261044176706827,,0.5261044176706827,0.5261044176706827,0.5261044176706827
InsectWingbeatSound,0.5974747474747475,0.5590909090909091,0.397979797979798,0.5363636363636364,0.2207070707070707,0.1797979797979798,,0.3853535353535353,0.2055555555555555,0.1277777777777777
ItalyPowerDemand,0.9222546161321672,0.8445092322643343,0.5082604470359572,0.4936831875607386,0.4178814382896015,0.4188532555879494,,0.8182701652089407,0.7677356656948494,0.412050534499514
LargeKitchenAppliances,0.648,0.6426666666666667,0.5626666666666666,0.552,0.2933333333333333,0.2373333333333333,0.2373333333333333,0.3706666666666666,0.3706666666666666,0.304
Lightning2,0.7868852459016393,0.6885245901639344,0.5409836065573771,0.7377049180327869,0.4426229508196721,0.4262295081967213,0.4262295081967213,0.639344262295082,0.639344262295082,0.4262295081967213
Lightning7,0.6986301369863014,0.6575342465753424,0.4520547945205479,0.4931506849315068,0.2191780821917808,0.1643835616438356,,0.5616438356164384,0.4931506849315068,0.2054794520547945
MedicalImages,0.7078947368421052,0.6684210526315789,0.5960526315789474,0.6671052631578948,0.4526315789473684,0.4328947368421053,0.4328947368421053,0.5302631578947369,0.5328947368421053,0.4434210526315789
MelbournePedestrian,0.8872488724887249,0.6461664616646167,0.6486264862648626,0.6359163591635917,0.5822058220582206,0.4501845018450184,0.4501845018450184,0.6986469864698647,0.5854858548585485,0.3763837638376384
MiddlePhalanxOutlineAgeGroup,0.6168831168831169,0.6038961038961039,0.5714285714285714,0.6233766233766234,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6168831168831169,0.6103896103896104,0.5454545454545454
MiddlePhalanxOutlineCorrect,0.7972508591065293,0.7628865979381443,0.563573883161512,0.8178694158075601,0.3436426116838488,0.3470790378006873,0.3470790378006873,0.7663230240549829,0.7319587628865979,0.4020618556701031
MiddlePhalanxTW,0.5714285714285714,0.5324675324675324,0.1493506493506493,0.3311688311688311,0.2987012987012987,0.0194805194805194,0.0194805194805194,0.3246753246753247,0.2922077922077922,0.0324675324675324
MoteStrain,0.8282747603833865,0.8075079872204473,0.7811501597444089,0.8538338658146964,0.652555910543131,0.6078274760383386,0.6078274760383386,0.6845047923322684,0.713258785942492,0.3434504792332268
OSULeaf,0.5495867768595041,0.5206611570247934,0.3223140495867768,0.3223140495867768,0.1239669421487603,0.0991735537190082,0.0991735537190082,0.3801652892561983,0.371900826446281,0.0702479338842975
PhalangesOutlinesCorrect,0.782051282051282,0.6386946386946387,0.5093240093240093,0.583916083916084,0.2972027972027972,0.2867132867132867,0.2867132867132867,0.5326340326340326,0.4592074592074592,0.3659673659673659
