dataset,origin_x,Random_x,Saliency_x,GuidedBackprop_x,GI_x,DeepLift_x,DeepLiftShap_x,attn_x,rollout_x,EXITT_x,origin_y,Random_y,Saliency_y,GuidedBackprop_y,GI_y,DeepLift_y,DeepLiftShap_y,attn_y,rollout_y,EXITT_y,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
SonyAIBORobotSurface1,0.827,0.767,0.657,0.431,0.15,0.083,0.827,0.571,0.571,0.002,0.7820299500831946,0.7720465890183028,0.4792013311148086,0.5008319467554077,0.1281198003327787,0.0366056572379367,0.7820299500831946,0.4775374376039933,0.5357737104825291,0.043261231281198,0.7870216306156406,0.7753743760399334,0.5590682196339434,0.610648918469218,0.1830282861896838,0.1314475873544093,0.7870216306156406,0.5241264559068219,0.5507487520798668,0.0
SonyAIBORobotSurface2,0.832,0.804,0.753,0.804,0.52,0.416,0.416,0.744,0.717,0.256,0.7838405036726128,0.7145855194123819,0.4889821615949632,0.8237145855194123,0.4994753410283316,0.279118572927597,0.279118572927597,0.7114375655823715,0.7219307450157397,0.1028331584470094,0.7943336831059811,0.7387198321091291,0.4868835257082896,0.4239244491080797,0.5110178384050367,0.2675760755508919,0.2675760755508919,0.7229800629590766,0.7313746065057712,0.2518363064008394
Strawberry,0.97,0.786,0.651,0.808,0.376,0.368,0.368,0.47,0.641,0.47,0.927027027027027,0.7216216216216216,0.6432432432432432,0.7594594594594595,0.5108108108108108,0.5108108108108108,0.5108108108108108,0.6432432432432432,0.6216216216216216,0.6432432432432432,0.927027027027027,0.7675675675675676,0.6432432432432432,0.6864864864864865,0.3243243243243243,0.3243243243243243,0.3243243243243243,0.6432432432432432,0.6432432432432432,0.4918918918918919
SwedishLeaf,0.898,0.387,0.154,0.381,0.237,0.176,0.176,0.141,0.128,0.019,0.8592,0.5616,0.1024,0.2832,0.1872,0.1968,0.1968,0.064,0.0464,0.0144,0.848,0.6,0.1568,0.36,0.1024,0.0816,0.0816,0.192,0.1216,0.0256
Symbols,0.88,0.748,0.411,0.628,0.514,0.316,0.88,0.392,0.359,0.156,0.8311557788944723,0.7085427135678392,0.3839195979899497,0.7256281407035176,0.4864321608040201,0.2311557788944723,0.8311557788944723,0.385929648241206,0.3869346733668342,0.2160804020100502,0.8442211055276382,0.6804020100502512,0.328643216080402,0.721608040201005,0.5949748743718593,0.3527638190954774,0.8442211055276382,0.5869346733668341,0.563819095477387,0.2663316582914573
SyntheticControl,1.0,0.893,0.783,0.867,0.64,0.62,0.62,0.537,0.547,0.387,0.95,0.8133333333333334,0.6233333333333333,0.8066666666666666,0.4733333333333333,0.4566666666666666,0.4566666666666666,0.56,0.5833333333333334,0.3833333333333333,0.9533333333333334,0.88,0.5433333333333333,0.7933333333333333,0.4666666666666667,0.3433333333333333,0.3433333333333333,0.45,0.4733333333333333,0.2566666666666666
ToeSegmentation1,0.741,0.689,0.548,0.759,0.197,0.175,0.175,0.513,0.526,0.171,0.7105263157894737,0.7412280701754386,0.6885964912280702,0.4122807017543859,0.1140350877192982,0.0482456140350877,0.0482456140350877,0.5043859649122807,0.4692982456140351,0.043859649122807,0.6973684210526315,0.7192982456140351,0.5657894736842105,0.7982456140350878,0.0482456140350877,0.0263157894736842,0.0263157894736842,0.5526315789473685,0.5657894736842105,0.0087719298245614
ToeSegmentation2,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.815,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154,0.8153846153846154
Trace,1.0,0.86,0.33,0.63,0.5,0.69,0.69,0.31,0.19,0.32,0.97,0.9,0.58,0.92,0.86,0.84,0.84,0.48,0.41,0.28,0.99,0.71,0.48,0.65,0.58,0.44,0.44,0.41,0.23,0.18
TwoPatterns,1.0,0.989,0.588,0.691,0.294,0.019,0.019,0.201,0.234,0.003,0.96975,0.9665,0.52425,0.654,0.0715,0.00775,0.00775,0.254,0.27975,0.01725,0.968,0.95475,0.548,0.66725,0.1095,0.0075,0.0075,0.2265,0.297,0.02575
UMD,1.0,0.986,0.729,0.819,0.729,0.639,0.639,0.507,0.562,0.493,0.9722222222222222,0.9722222222222222,0.7708333333333334,0.8611111111111112,0.7013888888888888,0.7152777777777778,0.7152777777777778,0.5555555555555556,0.5138888888888888,0.4097222222222222,0.9652777777777778,0.8958333333333334,0.7638888888888888,0.9791666666666666,0.7569444444444444,0.5972222222222222,0.5972222222222222,0.6458333333333334,0.5,0.4375
Wine,0.5,0.537,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
WordSynonyms,0.602,0.429,0.212,0.373,0.132,0.067,0.067,0.245,0.182,0.041,0.5564263322884012,0.4686520376175548,0.3119122257053291,0.4717868338557994,0.1661442006269592,0.1551724137931034,0.1551724137931034,0.2225705329153605,0.2852664576802508,0.073667711598746,0.5579937304075235,0.4310344827586206,0.2993730407523511,0.438871473354232,0.1410658307210031,0.1238244514106583,0.1238244514106583,0.1363636363636363,0.128526645768025,0.0376175548589341
Worms,0.532,0.442,0.338,0.416,0.208,0.182,0.182,0.338,0.351,0.234,0.5064935064935064,0.4545454545454545,0.4155844155844156,0.4155844155844156,0.2207792207792207,0.1558441558441558,0.1558441558441558,0.4285714285714285,0.4155844155844156,0.2857142857142857,0.4935064935064935,0.4935064935064935,0.4415584415584415,0.4025974025974026,0.1298701298701298,0.1298701298701298,0.1298701298701298,0.3636363636363636,0.3376623376623376,0.1818181818181818
