dataset,origin_x,Random_x,Saliency_x,GuidedBackprop_x,GI_x,DeepLift_x,DeepLiftShap_x,attn_x,rollout_x,EXITT_x,origin_y,Random_y,Saliency_y,GuidedBackprop_y,GI_y,DeepLift_y,DeepLiftShap_y,attn_y,rollout_y,EXITT_y,origin,Random,Saliency,GuidedBackprop,GI,DeepLift,DeepLiftShap,attn,rollout,EXITT
DistalPhalanxOutlineCorrect,0.786,0.743,0.623,0.837,0.283,0.272,0.272,0.453,0.417,0.775,0.7536231884057971,0.6920289855072463,0.4347826086956521,0.8804347826086957,0.0543478260869565,0.0543478260869565,0.0543478260869565,0.4347826086956521,0.4166666666666667,0.0833333333333333,0.7572463768115942,0.6847826086956522,0.4166666666666667,0.8297101449275363,0.1557971014492753,0.1376811594202898,0.1376811594202898,0.4166666666666667,0.4166666666666667,0.0942028985507246
DistalPhalanxTW,0.734,0.612,0.302,0.432,0.41,0.424,0.424,0.187,0.367,0.115,0.6906474820143885,0.5179856115107914,0.2805755395683453,0.7050359712230215,0.2158273381294964,0.158273381294964,0.158273381294964,0.6546762589928058,0.6187050359712231,0.2949640287769784,0.7050359712230215,0.5323741007194245,0.2949640287769784,0.460431654676259,0.2517985611510791,0.1151079136690647,0.1151079136690647,0.1294964028776978,0.4460431654676259,0.0647482014388489
ECG200,0.91,0.83,0.77,0.48,0.49,0.51,0.51,0.5,0.68,0.41,0.86,0.81,0.65,0.61,0.36,0.28,0.28,0.66,0.59,0.18,0.86,0.81,0.74,0.47,0.31,0.3,0.3,0.37,0.37,0.11
ECG5000,0.939,0.928,0.891,0.904,0.79,0.618,0.939,0.582,0.584,0.473,0.8928888888888888,0.8933333333333333,0.884,0.8677777777777778,0.8233333333333334,0.7911111111111111,0.8928888888888888,0.7735555555555556,0.6542222222222223,0.5008888888888889,0.8931111111111111,0.8848888888888888,0.6262222222222222,0.5837777777777777,0.8377777777777777,0.8008888888888889,0.8931111111111111,0.5837777777777777,0.5837777777777777,0.5708888888888889
ECGFiveDays,0.921,0.877,0.624,0.465,0.197,0.197,0.197,0.52,0.516,0.167,0.875725900116144,0.8617886178861789,0.578397212543554,0.478513356562137,0.1440185830429733,0.1591173054587688,0.1591173054587688,0.5284552845528455,0.5098722415795587,0.1556329849012775,0.8745644599303136,0.8524970963995354,0.7584204413472706,0.9605110336817654,0.1509872241579558,0.1161440185830429,0.1161440185830429,0.4970963995354239,0.4970963995354239,0.008130081300813
Earthquakes,0.799,0.741,0.647,0.698,0.676,0.655,0.655,0.777,0.784,0.576,0.7769784172661871,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7410071942446043,0.7482014388489209,0.7482014388489209,0.7410071942446043,0.7841726618705036,0.7841726618705036,0.7482014388489209,0.7338129496402878,0.7266187050359713,0.7266187050359713,0.7266187050359713,0.7482014388489209,0.7482014388489209,0.7266187050359713
ElectricDevices,0.741,0.531,0.495,0.491,0.514,0.49,0.49,0.494,0.323,0.485,0.6990014265335235,0.508624043574115,0.4206977045778757,0.4964336661911555,0.4550641940085592,0.4277006873297886,0.4277006873297886,0.4197899105174426,0.2642977564518221,0.4716638568279082,0.69303592270782,0.5440280119310077,0.5403968356892751,0.5588120866294903,0.4566204123978731,0.4182336921281286,0.4182336921281286,0.4292569057191026,0.268188302425107,0.4459862534042277
FaceAll,0.764,0.704,0.383,0.36,0.125,0.099,0.764,0.051,0.047,0.029,0.7207100591715976,0.5911242603550296,0.1130177514792899,0.2218934911242603,0.0633136094674556,0.0260355029585798,0.7207100591715976,0.0278106508875739,0.0189349112426035,0.0159763313609467,0.7142011834319527,0.5964497041420118,0.3230769230769231,0.4260355029585799,0.1420118343195266,0.0775147928994082,0.7142011834319527,0.0331360946745562,0.0337278106508875,0.0100591715976331
FaceFour,0.966,0.784,0.318,0.784,0.568,0.511,0.966,0.432,0.42,0.091,0.9204545454545454,0.7840909090909091,0.3977272727272727,0.625,0.3295454545454545,0.2613636363636363,0.9204545454545454,0.3409090909090909,0.3522727272727273,0.2272727272727272,0.9431818181818182,0.8409090909090909,0.4659090909090909,0.7272727272727273,0.4886363636363636,0.3636363636363636,0.9431818181818182,0.4431818181818182,0.3409090909090909,0.125
FacesUCR,0.862,0.784,0.379,0.611,0.332,0.285,0.285,0.229,0.155,0.051,0.8160975609756097,0.7180487804878048,0.324390243902439,0.6273170731707317,0.2356097560975609,0.2317073170731707,0.2317073170731707,0.1321951219512195,0.193170731707317,0.1107317073170731,0.8141463414634146,0.7380487804878049,0.413170731707317,0.6858536585365854,0.2356097560975609,0.1346341463414634,0.1346341463414634,0.1160975609756097,0.1478048780487804,0.0463414634146341
